epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,19129.9,0.58267,0.3379,0.93986,0.98925,0.98944,0.99348,0.79342,0.84924,0.27389,1.10866,0.002674,0.002674,0.002674
76,19394,0.57811,0.33605,0.94214,0.98902,0.98946,0.99348,0.79416,0.84916,0.27329,1.10877,0.002575,0.002575,0.002575
77,19622.3,0.57842,0.32809,0.94233,0.98872,0.98949,0.99351,0.79362,0.84911,0.27357,1.1085,0.002476,0.002476,0.002476
78,19886.3,0.58347,0.33024,0.94194,0.98792,0.98965,0.99353,0.79389,0.84896,0.27333,1.10827,0.002377,0.002377,0.002377
79,20113.9,0.57447,0.3259,0.94027,0.99199,0.98565,0.99351,0.79409,0.84917,0.27302,1.10857,0.002278,0.002278,0.002278
80,20375,0.57428,0.31899,0.93856,0.9891,0.99057,0.99351,0.79372,0.8492,0.27253,1.10856,0.002179,0.002179,0.002179
81,20603.7,0.57041,0.32008,0.93559,0.98947,0.99048,0.99351,0.79439,0.84933,0.27301,1.10901,0.00208,0.00208,0.00208
82,20868.4,0.56701,0.31761,0.93574,0.98786,0.99081,0.99353,0.79507,0.8492,0.27275,1.10882,0.001981,0.001981,0.001981
83,21097.2,0.56769,0.31242,0.93685,0.98816,0.9907,0.99355,0.79428,0.84898,0.27218,1.10862,0.001882,0.001882,0.001882
84,21361.1,0.56319,0.31179,0.93542,0.98832,0.99069,0.99358,0.79408,0.84934,0.27309,1.1089,0.001783,0.001783,0.001783
85,21590.2,0.55935,0.30996,0.93355,0.98818,0.99053,0.99351,0.79492,0.84915,0.27289,1.10872,0.001684,0.001684,0.001684
86,21856.7,0.55588,0.30142,0.93201,0.9889,0.98987,0.99351,0.79475,0.84857,0.27273,1.10866,0.001585,0.001585,0.001585
87,22086.6,0.55277,0.29965,0.93253,0.98871,0.9896,0.99354,0.79508,0.84817,0.27251,1.10842,0.001486,0.001486,0.001486
88,22351.4,0.54956,0.29314,0.92803,0.98872,0.98955,0.99354,0.79532,0.84828,0.27234,1.10831,0.001387,0.001387,0.001387
89,22579.8,0.55077,0.29708,0.92811,0.98877,0.98968,0.99355,0.79482,0.84816,0.27169,1.10857,0.001288,0.001288,0.001288
