epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,36998.2,0.59515,0.3471,0.93207,0.98823,0.98658,0.99411,0.78944,0.86504,0.27401,1.10613,0.00307,0.00307,0.00307
72,37529.9,0.58934,0.33929,0.92777,0.9883,0.98655,0.99409,0.78965,0.86452,0.2743,1.10539,0.002971,0.002971,0.002971
73,37998.8,0.59143,0.33525,0.93092,0.98838,0.98635,0.99411,0.78914,0.86456,0.27374,1.10567,0.002872,0.002872,0.002872
74,38529.6,0.59033,0.3345,0.92824,0.98849,0.98602,0.99401,0.78896,0.86449,0.27388,1.10552,0.002773,0.002773,0.002773
75,39000.8,0.58261,0.32861,0.92222,0.98861,0.98586,0.99395,0.78838,0.86455,0.27363,1.10573,0.002674,0.002674,0.002674
76,39531.2,0.57871,0.32944,0.92519,0.98862,0.98567,0.99399,0.7891,0.8644,0.27421,1.1058,0.002575,0.002575,0.002575
77,40002.2,0.57884,0.32335,0.92567,0.9887,0.98542,0.9939,0.78897,0.86414,0.27401,1.10559,0.002476,0.002476,0.002476
78,40533.6,0.58235,0.3244,0.92595,0.98853,0.98544,0.99385,0.78949,0.86361,0.27395,1.10524,0.002377,0.002377,0.002377
79,41003,0.57647,0.32374,0.92478,0.9882,0.98541,0.99383,0.78959,0.86297,0.27424,1.10464,0.002278,0.002278,0.002278
80,41534.7,0.5733,0.31347,0.9218,0.98821,0.98531,0.99381,0.7907,0.86301,0.27476,1.10507,0.002179,0.002179,0.002179
81,42003.1,0.56901,0.31575,0.92048,0.98835,0.98568,0.99378,0.7904,0.86304,0.27447,1.10511,0.00208,0.00208,0.00208
82,42534.5,0.56661,0.31162,0.92007,0.98844,0.98565,0.99379,0.7905,0.86282,0.27434,1.10498,0.001981,0.001981,0.001981
83,43004.5,0.56606,0.30489,0.92066,0.9882,0.98571,0.9938,0.79043,0.86281,0.27406,1.1052,0.001882,0.001882,0.001882
84,43535,0.56347,0.30687,0.91878,0.9882,0.98564,0.99354,0.78927,0.86322,0.27426,1.10549,0.001783,0.001783,0.001783
85,44006.7,0.55876,0.30179,0.91813,0.98804,0.98566,0.99349,0.78928,0.86275,0.27462,1.10536,0.001684,0.001684,0.001684
86,44538.5,0.55463,0.29534,0.91516,0.988,0.98559,0.99355,0.78887,0.86249,0.27411,1.10521,0.001585,0.001585,0.001585
87,45008.1,0.55228,0.29449,0.91604,0.98787,0.98554,0.99357,0.7894,0.86241,0.27389,1.10516,0.001486,0.001486,0.001486
88,45540.3,0.54673,0.28792,0.91302,0.98761,0.98525,0.99346,0.79,0.86276,0.2738,1.1055,0.001387,0.001387,0.001387
89,46009,0.54606,0.28809,0.91247,0.98754,0.98527,0.99361,0.78959,0.86274,0.2742,1.1056,0.001288,0.001288,0.001288
90,46540,0.54195,0.28421,0.911,0.9876,0.98516,0.99366,0.79072,0.86293,0.27418,1.1058,0.001189,0.001189,0.001189
91,47047.6,0.4949,0.20734,0.90052,0.98775,0.98504,0.99348,0.79068,0.86259,0.27457,1.10564,0.00109,0.00109,0.00109
92,47574.6,0.49016,0.19868,0.89834,0.98766,0.98503,0.99359,0.7903,0.86277,0.27472,1.10593,0.000991,0.000991,0.000991
93,48041.5,0.48711,0.19916,0.89837,0.98766,0.98499,0.99359,0.79034,0.86256,0.27457,1.1059,0.000892,0.000892,0.000892
94,48570.3,0.48202,0.1957,0.89565,0.98784,0.98496,0.99351,0.79018,0.86247,0.27468,1.10591,0.000793,0.000793,0.000793
95,49035.3,0.47564,0.19237,0.89245,0.9878,0.98432,0.99361,0.78987,0.86241,0.27487,1.10588,0.000694,0.000694,0.000694
96,49563.4,0.47068,0.18854,0.88992,0.98775,0.98422,0.99366,0.79141,0.86233,0.27539,1.10599,0.000595,0.000595,0.000595
97,50030.1,0.4682,0.18854,0.88781,0.98749,0.98411,0.99361,0.79077,0.86206,0.2754,1.10593,0.000496,0.000496,0.000496
98,50556.7,0.46239,0.18466,0.8848,0.98741,0.98412,0.99365,0.79092,0.86188,0.27536,1.10588,0.000397,0.000397,0.000397
99,51023.9,0.45749,0.1803,0.88404,0.98718,0.98407,0.99359,0.79108,0.86207,0.27553,1.1062,0.000298,0.000298,0.000298
100,51551.7,0.45332,0.17798,0.88143,0.9871,0.98404,0.9937,0.79234,0.86173,0.27604,1.10601,0.000199,0.000199,0.000199
